Identifiant,NomGroupePlat,NumPlat,Aliment,NomFamPlat,TextRecette,Viande,Poisson,Ig(bas:55 ou moins; moyen: 56-60 élevé: >ou=70),MacroN,Végé,sansGluten,cétogène,DurPrep,SaisDeb,SaisFin,NumIng1,QteIng1,UniteIng1,NumIng2,QteIng2,UniteIng2,NumIng3,QteIng3,UniteIng3,NumIng4,QteIng4,UniteIng4,NumIng5,QteIng5,UniteIng5,NumIng6,QteIng6,UniteIng6,NumIng7,QteIng7,UniteIng7,NumIng8,QteIng8,UniteIng8,NumIng9,QteIng9,UniteIng9,NumIng10,QteIng10,UniteIng10,NumIng11,QteIng11,UniteIng11,NumIng12,QteIng12,UniteIng12,NumIng13,QteIng13,UniteIng13,NumIng14,QteIng14,UniteIng14,NumIng15,QteIng15,UniteIng15,NumIng16,QteIng16,UniteIng16,NumIng17,QteIng17,UniteIng17,NumIng18,QteIng18,UniteIng18,NumIng19,QteIng19,UniteIng19,NumIng20,QteIng20,UniteIng20,Prix,Diff,Medi,Sanssel,Porc
11,Légumes-saison,11,brocoli,Brocoli aux lardons,"Cuire le brocoli à la vapeur pendant 15min. Le gruyère peut être remplacé par du fromage de chèvre ou même sans fromage, en ajoutant un peu plus de crème fraiche à la place. Faites revenir l'ail et les oignons, puis les lardons. Une fois cuits, y ajouter le brocoli et la crème. Moudre en petits morceaux les graines de courge, ou entières, comme vous préférez, puis les ajouter au mélange",oui,non,bas,P-L,non,non,non,25,janvier,décembre,20304,300,g,28501,50,g,15028,10,g,17270,2,ml,19430,50,ml,12060,10,g,20238,10,g,11023,5,g,11024,2,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
12,Légumes-saison,12,brocoli,Brocoli & carottes en épices,"Couper les carottes en rondelles et le brocoli en morceaux. cuire à la vapeur les carottes(25min) et brocoli(15min). Faire revenir les oignons dans de l'huile d'olive, y verser le brocoli et carottes, les faire revenir 5min à feu moyen. Ajouter les autres ingrédients et laisser encore 2min à faible cuisson.",non,non,moyen,L-G,non,non,non,35,janvier,décembre,20304,300,g,20009,150,g,13186,45,g,17270,5,ml,20034,30,g,11052,5,g,11026,15,g,11042,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
13,Légumes-saison,13,brocoli,Curry de brocoli et pois chiches,"Cuire à la vapeur le brocoli préalablement coupé en morceaux pendant 15 min. Chauffer un peu d'huile d'olive ,faire revenir l'oignon et l'ail jusqu'à ce qu'ils soient dorés.
Ajouter le brocoli et faire revenir pendant quelques minutes. Incorporer la poudre de curry, le curcuma et le cumin et bien mélanger .Verser le lait de coco dans la poêle. Ajouter les pois chiches cuits. Assaisonner avec du sel et du poivre selon votre goût. Laisser mijoter pendant 5minutes. Servir chaud, garni de coriandre fraîche si désiré,",non,non,moyen,P-L-G,non,non,non,30,janvier,décembre,20304,200,g,20532,60,g,20034,20,g,11023,5,g,18041,100,ml,11005,1,pincée,11089,1,pincée,11042,2,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
14,Légumes-saison,14,brocoli,Curry de brocoli et Lentilles,"Rincer les lentilles puis les cuires à l'eau bouillante sans sel suivant les instructions(généralement 25min). cuire à la vapeur le brocoli préalablement coupé en morceaux.Faire revenir l'oignon haché et l'ail émincé dans un peu d'huile jusqu'à ce qu'ils soient dorés.
Ajoutez le brocoli dans la poêle et faire sauter pendant quelques minutes. Incorporer les lentilles, les tomates pelées, le lait de coco, le curry et le curcuma dans la poêle. Mélangez bien.",non,non,bas,P-L-G,non,non,non,35,janvier,décembre,20304,150,g,20587,60,g,20048,200,g,18041,100,ml,20034,50,g,20034,10,g,11005,1,pincée,11089,1,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,très facile,oui,<7g,non
15,Légumes-saison,15,brocoli,Curry de poulet au brocoli,"Cuire à la vapeur le brocoli préalablement coupé en morceaux pendant 15 min. Faire revenir l'oignon et l'ail dans un peu d'huile jusqu'à ce qu'ils soient dorés. Ajoutez le poulet et faire cuire jusqu'à ce qu'il soit doré.  Versez le lait de coco et ajoutez les noix et la poudre de curry. Mélangez bien et laissez mijoter jusqu'à ce que le poulet soit cuit. Ajoutez le brocoli, assaisonnez avec du sel et du poivre selon votre goût. Garnissez de coriandre fraîche avant de servir.",oui,non,bas,P-L,non,non,non,25,janvier,décembre,20304,300,g,36040,150,g,18041,100,ml,15055,10,g,20034,5,g,20034,50,g,11005,1,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
16,Légumes-saison,16,brocoli,Petits pois à la menthe et brocoli rôtis au four,"Préchauffez votre four à 200°C (390°F). Dans un grand bol, mélangez les morceaux de brocoli, les quartiers d'oignon rouge et les rondelles de carottes avec l'huile d'olive, le romarin frais, le sel et le poivre noir moulu. Placez la plaque de cuisson au four préchauffé et faire rôtir les légumes pendant environ 25 minutes, en remuant à mi-cuisson pour une cuisson uniforme. Hacher les feuilles de menthe et les cuires avec les petis pois pendant environ 5min.",non,non,moyen,L-G,non,non,non,30,janvier,décembre,20304,200,g,20009,100,g,20036,140,g,17270,15,ml,20238,50,g,11068,5,g,11027,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
17,Légumes-saison,17,brocoli,Gratin de brocoli et pommes de terre,"Préchauffez votre four à 180°C (350°F).
Huilez un  plat allant au four. Coupez le brocoli et la pomme de terre en rondelles. Disposez une couche de brocoli au fond du plat, puis une couche de rondelles de pomme de terre. Saupoudrez d'ail émincé , puis assaisonnez avec du sel et du poivre selon votre goût.Verser la crème fraîche sur les légumes.
Saupoudrez le fromage râpé sur le dessus du gratin.Couvrez le plat d'une feuille de papier aluminium et enfournez pendant environ 25 minutes. Retirez le papier aluminium et poursuivez la cuisson pendant encore 15 à 20 minutes, ou jusqu'à ce que le fromage soit doré et que les légumes soient tendres.Laissez reposer quelques minutes avant de servir chaud..",non,non,élevé,L-G,non,non,non,55,janvier,décembre,20304,200,g,4008,150,g,12060,50,g,19430,50,ml,17270,5,ml,11023,5,g,16410,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
18,Légumes-saison,18,brocoli,Curry de brocoli et dinde,"Cuire le riz selon les indications(45min). Couper et cuire au préalable le brocoli à la vapeur pendant 15min. Faites chauffer un peu d'huile dans une casserole à feu moyen.Ajoutez l'oignon émincé et l'ail émincé, et faites-les revenir jusqu'à ce qu'ils soient dorés et parfumés.Ajoutez les morceaux de dinde et faites-les dorer de tous les côtés. Ajoutez le brocoli et mélangez bien.
Incorporer la poudre de curry  et bien enrober la viande et les légumes. Versez le lait de coco et le bouillon dans la casserole et portez à ébullition.Réduisez le feu et laissez mijoter doucement pendant environ 10 minutes.
Assaisonnez avec du sel et du poivre selon votre goût. Servez le curry de brocoli chaud avec du riz basmati.",oui,non,bas,P-L-G,non,non,non,45,janvier,décembre,20304,200,g,36304,100,g,25948,50,ml,9120,70,g,18041,100,ml,11023,5,g,20034,25,g,11005,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
19,Légumes-saison,19,brocoli,brocoli braisés à la saucisse de Toulouse,"Cuire au préalable le brocoli à la vapeur pendant 15min. Dans une poêle, faites chauffer l'huile d'olive à feu moyen. Ajoutez la saucisse de Toulouse dans la poêle et faites-la cuire jusqu'à ce qu'elle soit dorée de tous les côtés.
Retirez la saucisse de la poêle et réservez-la.
Dans la même poêle, ajoutez le brocoli et faites-les revenir pendant quelques minutes jusqu'à ce qu'ils soient légèrement dorés.Ajoutez l'ail émincé et faites cuire pendant une minute de plus.Remettez la saucisse de Toulouse dans la poêle avec le brocoli et l'ail.Versez la sauce tomates dans la poêle et couvrez.Laissez mijoter jusqu'à ce que le brocoli soit tendre et que la saucisse soit bien cuite.
Assaisonnez avec du sel et du poivre selon votre goût.",oui,non,bas,P-L-G,non,non,non,25,janvier,décembre,20304,200,g,30110,100,g,17270,15,ml,11107,100,ml,11023,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
20,Légumes-saison,20,brocoli,Filet de cabillaud sauce vin blanc,"Cuire au préalable le brocoli à la vapeur pendant 15min. Préparez l'échalote et faites-la revenir dans l'huile jusqu'à ce qu'elle soit translucide.
Déglacez avec le vin blanc et laissez réduire de moitié. Ajoutez le bouillon dans 50ml d'eau, le thym et l'ail et laissez réduire de moitié à nouveau. Incorporez la crème fraîche et laissez mijoter jusqu'à ce que la sauce épaississe. Assaisonnez avec du sel, du poivre, et du persil si désiré. Pendant ce temps cuire le cabillaud à dans une poêle huilée. Nappez le cabillaud et le brocoli de cette sauce avant de servir.",non,oui,bas,P-L,non,non,non,30,janvier,décembre,20304,300,g,26043,200,g,17270,20,ml,19430,50,ml,5215,50,ml,25948,50,ml,11023,5,g,11070,10,g,20097,30,g,11014,1,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
21,Légumes-saison,21,brocoli,"Filet de dorade cuit au four et brocoli,","Cuire au préalable le brocoli à la vapeur pendant 15min. Préchauffez votre four à 200°C. Émincez finement la gousse d'ail. Disposez le brocoli dans un plat allant au four préalablement huilé.
Déposez le filet de poisson sur le brocolis. Répartissez l'ail émincé sur le poisson.
Arrosez le tout d'un filet d'huile d'olive. Ajoutez les brins de thym frais par-dessus.Assaisonnez avec du sel et du poivre selon votre goût. Enfournez le plat dans le four préchauffé et laissez jusqu'à ce que le poisson soit cuit..",non,oui,bas,P-L,non,non,non,20,janvier,décembre,20304,300,g,26043,200,g,17270,20,ml,11023,5,g,20097,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
22,Légumes-saison,22,brocoli,Pavé de saumon grillé et brocoli sauté,"Faites cuire le brocoli à la vapeur pendant 15 minutes. Faites griller légèrement les graines de sésame dans une poêle sèche à feu moyen jusqu'à ce qu'elles soient dorées.
Huilez le pavé de saumon. Pressez le saumon dans les graines. Dans la même poêle, ajoutez un peu plus d'huile d'olive, puis placez le pavé de saumon côté peau vers le bas.Faites cuire le saumon pendant environ 4-5 minutes de chaque côté. Ajoutez le reste des graines et le brocoli dans la poêle en fin de cuisson.Une fois que le saumon est cuit, servez-le chaud avec le brocoli.",non,oui,bas,P-L,non,non,non,20,janvier,décembre,20304,300,g,26161,200,g,15010,10,g,17270,30,ml,11014,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
23,Légumes-saison,23,brocoli,Filet de cabillaud aux légumes,"Cuire au préalable le brocoli à la vapeur pendant 10 min. Préchauffez le four à 180°C.Préparez les légumes. Disposez le filet de cabillaud au centre d'une feuille de papier sulfurisé préalablement disposé sur une plaque. Disposez le brocoli, les rondelles de courgette, les lanières de poivron rouge et les oignons émincés autour du cabillaud. Arrosez le tout avec de l'huile d'olive et assaisonnez avec du sel et du poivre selon votre goût. Placez les tranches de citron sur le dessus du cabillaud. Repliez la feuille de papier sulfurisé sur le poisson et les légumes pour former une papillote hermétique.Mettez la plaque de cuisson au four et faites cuire pendant environ 15-20 minutes, ou jusqu'à ce que le cabillaud soit cuit et que les légumes soient tendres. Retirez la papillote du four, ouvrez-la avec précaution et transférez le contenu dans une assiette.",non,oui,bas,P-L-G,non,non,non,25,juin,octobre,20304,150,g,20020,100,g,20087,50,g,26043,200,g,20238,25,g,17270,15,ml,2007,50,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
24,Légumes-saison,24,brocoli,Cabillaud en croûte de noisettes & purée de brocoli-carotte,"Préchauffez votre four à 180°C.Dans un petit bol, mélangez les noisettes concassées avec une pincée de sel et de poivre.Assaisonnez le filet de poisson.Enrobez le filet de poisson avec le mélange de noisettes concassées.Disposez le filet de poisson sur une plaque de cuisson recouverte de papier sulfurisé et enfournez-le pendant environ 15-20 minutes, jusqu'à ce qu'il soit cuit à votre goût. Epluchez et coupez les carottes en dés et coupez le brocoli en morceaux. cuire les carottes pendant 20min et le brocoli pdt 15 min. Passez-les au mixeur avec la crème fraîche.
Rectifiez l'assaisonnement de la purée avec du sel et du poivre selon votre goût.",non,oui,bas,P-L-G,non,non,non,30,janvier,décembre,20304,150,g,20009,50,g,26043,200,g,15004,20,g,19430,50,ml,17270,5,ml,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
25,Légumes-saison,25,brocoli,Brocoli et escalope de poulet aux olives,"Cuire au préalable le brocoli à la vapeur pendant 10 min. Dans une poêle, poursuivre la cuission des brocoli avec l'ail, les herbes et épices pendant 5 min, rajoutez un peu d'eau si nécessaire. En parallèle cuire l'escalope à la poêle avec l'huile d'olive, puis ajoutez la crème, les olives et les herbes de provence.",non,oui,bas,P-L,non,non,non,25,janvier,décembre,20304,250,g,36029,160,g,13033,30,g,19430,50,ml,17270,10,ml,11023,5,g,11003,10,g,11060,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
26,Légumes-saison,26,brocoli,Cabillaud au brocoli,"Cuire au préalable le brocoli à la vapeur pendant 10 min. Puis le mettre dans une casserole, ajouter les oignons, le persil et un verre de vin blanc. Laissez cuire à feu moyen 10 minutes. cuire le poisson séparément dans une poêle avec l'huile d'olive. Ajoutez la crème fraiche, saler et poivrer.",oui,non,bas,P-L,non,non,non,30,janvier,décembre,20304,300,g,26043,100,g,19430,50,ml,17270,20,ml,5215,50,ml,11014,5,g,20238,30,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
27,Légumes-saison,27,brocoli,Brocoli & pommes de terre en épices,"Rincer le brocoli et le cuire au préalable à la vapeur pendant 10 min;cuire à la vapeur les pommes de terre. Faire revenir les oignons dans de l'huile d'olive, y verser le brocoli et pommes de terre, les faire revenir 5min à feu moyen.  Ajouter les autres ingrédients et laisser encore 2min à faible cuisson.",non,non,moyen,P-L-G,non,non,non,30,janvier,décembre,20304,100,g,4008,200,g,20504,100,g,13033,45,g,17270,10,ml,5215,10,ml,20034,30,g,11052,5,g,11094,15,g,11042,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
28,Légumes-saison,28,brocoli,"brocoli, crevettes et feta à la grecque","Chauffer l’huile dans une grande poêle à frire. Ajouter les oignons et cuire doucement à feu moyen pendant 5min. Ajouter l’ail et les flocons de piments et cuire 1min de plus. Ajouter ensuite le vin et laisser évaporer complètement. Ajouter le brocolis ,le sel et le poivre et porter à ébullition, remuer constamment, jusqu’à l’obtention d’un mélange consistant: de 10 à 15 minutes. Ajouter les crevettes et bien brasser pour les incorporer aux brocolis. Transférer dans un plat allant au four. Saupoudrer le feta et les olives sur les crevettes. Enfourner dans un four préchauffé à 190°C (375°F) pendant 10 à 15 minutes, jusqu’à cuisson complète. Saupoudrer de persil.",non,oui,bas,P-L-G,non,non,non,40,mai,octobre,20304,200,g,10021,100,g,13033,45,g,17270,15,ml,12061,50,g,5215,10,ml,11023,5,g,20034,30,g,20151,1,pincée,11014,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
29,Légumes-saison,29,brocoli,Poulet aux brocolis et aux herbes,"Cuire le riz suivant les instructions.Faites chauffer l'huile d'olive dans une poêle à feu moyen.Ajoutez le filet de poulet et faites-le dorer de chaque côté pendant environ 5 minutes. Retirez-le de la poêle et réservez.Dans la même poêle, ajoutez l'oignon émincé et faites-le revenir jusqu'à ce qu'il devienne translucide. Ajoutez l'ail haché et faites-le revenir pendant 1min de plus. Ajoutez les dés de brocolis et le concentré de tomate. Mélangez bien.
Ajoutez le thym, l'origan, le sel et le poivre. Laissez mijoter pendant environ 10min. Remettez le filet de poulet dans la poêle avec la sauce brocoli. Laissez mijoter pendant 5min de plus pour que le poulet s'imprègne bien des saveurs de la sauce.Servez le avec du riz cuit.",oui,non,moyen,P-L-G,non,non,non,30,mai,octobre,20304,250,g,20068,15,g,36040,200,g,9119,60,g,17270,15,ml,11023,5,g,20034,30,g,11038,1,g,11035,1,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
30,Légumes-saison,30,brocoli,Tarte aux brocolis et à la Crème de Parmesan,"Préchauffez votre four à 200°C (390°F).
Déroulez la pâte feuilletée et découpez un rectangle. Placez la pâte sur une plaque de cuisson recouverte de papier sulfurisé. Piquez-la légèrement avec une fourchette pour éviter qu'elle ne gonfle trop pendant la cuisson. Dans un bol, mélangez la crème fraîche avec la moutarde de Dijon et le parmesan râpé jusqu'à obtenir une consistance homogène. Étalez cette crème sur la pâte feuilletée en laissant une bordure d'environ 1 cm tout autour. Coupez la brocoli en fines tranches et disposez les de manière uniforme sur la crème de parmesan.Saupoudrez le brocolis avec les herbes de Provence, le sel et le poivre.
Arrosez légèrement d'huile d'olive.
Enfournez la tarte dans le four préchauffé et laissez cuire pendant 20 à 25 minutes, 
Garnissez avec des feuilles de basilic frais avant de servir.",non,non,moyen,L-G,non,non,non,40,mai,octobre,20304,150,g,23424,75,g,12120,30,g,19430,30,ml,17270,5,ml,11013,5,g,11060,2,g,11033,3,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
